iter	Accuracy	MultiClass
473	0.7678356136	0.6614530183
474	0.7682025476	0.6609095482
475	0.475	0.7591864549	0.6677476	0.7684646433	0.6599573573
477	0.7477	0.7595009698	0.667478	0.7478	0.7601299995	0.6667479	0.7479	0.7597630655	0.66480	0.7697751219	0.6577875821
481	0.769481	0.7596582272	0.66482	0.769482	0.7597630655	0.66483	0.770483	0.7604969335	0.6484	0.7721339833	0.6560595426
485	0.772485	0.7606017718	0.66486	0.773486	0.7613356398	0.66487	0.773487	0.7615453163	0.66488	0.773488	0.7615453163	0.66489	0.7734968811	0.6542236962
490	0.773490	0.7611783823	0.66491	0.774491	0.7611783823	0.6492	0.7742492	0.7617549929	0.6493	0.7743880065	0.6526326238
494	0.7743494	0.7628033758	0.6495	0.7742495	0.7628033758	0.6496	0.7742496	0.7631178907	0.6497	0.77497	0.7630654715	0.65498	0.7745976831	0.6504141149
499	0.774499	0.7633799864	0.65500	0.774500	0.7636945012	0.65501	0.7745452639	0.6492555399
502	0.7747025214	0.648771071
503	0.774503	0.7639041778	0.65504	0.774504	0.7642711118	0.65505	0.774505	0.7642711118	0.65506	0.775506	0.7640090161	0.65507	0.7750170362	0.6465176344
508	0.7508	0.7655815904	0.654509	0.77509	0.7656864287	0.654510	0.77510	0.7656340095	0.653511	0.77511	0.7655815904	0.653512	0.77512	0.766525135	0.6532513	0.7752791319	0.6441730273
514	0.7514	0.7663678775	0.6525515	0.7754363894	0.6434123984
516	0.7754363894	0.6428962749
517	0.7517	0.7667872307	0.6512518	0.7518	0.7671017456	0.650519	0.77519	0.7671017456	0.650520	0.7760129999	0.6414969865
521	0.77521	0.7676783561	0.650522	0.77522	0.7677831944	0.64523	0.775523	0.767625937	0.649524	0.77524	0.7676783561	0.649525	0.77525	0.7677831944	0.64526	0.775526	0.767992871	0.6481113083
527	0.768359805	0.6479528	0.7528	0.7684122241	0.6476529	0.7529	0.7684646433	0.6474530	0.7760654191	0.6383606125
531	0.531	0.7684122241	0.6465245378
532	0.7684122241	0.6463533	0.7533	0.768359805	0.646083322
534	0.7697227027	0.645686146
535	0.7695654453	0.6453947552
536	0.7698799602	0.64507537	0.537	0.7697227027	0.64469538	0.538	0.7699847984	0.64446539	0.539	0.7701420559	0.6441540	0.7771662211	0.6353156199
541	0.7541	0.771295277	0.64355542	0.542	0.7717146302	0.64323543	0.543	0.7719767259	0.64294544	0.544	0.7725533365	0.64261545	0.545	0.7725533365	0.64222546	0.546	0.7723436599	0.64170547	0.7776379934	0.6332104149
548	0.548	0.7727105939	0.64098549	0.7772710594	0.6324065515
550	0.777480736	0.6320728709
551	0.7776379934	0.6316501721
552	0.7775855743	0.6313416355
553	0.7775855743	0.631015165
554	0.7776379934	0.6305353601
555	0.7779525083	0.6301257967
556	0.7779000891	0.6297397539
557	0.7777428317	0.6292878326
558	0.778214604	0.6290849839
559	0.7780573465	0.6287773565
560	0.7780573465	0.6285734739
561	0.7781621848	0.6283771696
562	0.7783194423	0.6279766276
563	0.778581538	0.627588409
564	0.7786339571	0.627123319
565	0.778581538	0.6269374578
566	0.7787912146	0.6267295185
567	0.7786339571	0.6264368299
568	0.7791057294	0.626234113
569	0.7791581486	0.625968325
570	0.7791581486	0.6255580601
571	0.778948472	0.6250535105
572	0.778948472	0.6246479568
573	0.778948472	0.6242833218
574	0.7788960528	0.6238583242
575	0.7788436337	0.6236238048
576	0.7788960528	0.6233856235
577	0.7788960528	0.6231021888
578	0.7790533103	0.6227219219
579	0.7788436337	0.622547515
580	0.7788960528	0.6221027235
581	0.7790533103	0.6219336352
582	0.7791057294	0.6216383251
583	0.7790533103	0.6213773787
584	0.779315406	0.6209348863
585	0.7793678251	0.6206475096
586	0.7793678251	0.6203685559
587	0.7794726634	0.62010978
588	0.7795250826	0.6199753497
589	0.7795250826	0.6197019863
590	0.779315406	0.6194040921
591	0.7795250826	0.6192850349
592	0.7797347591	0.6190052794
593	0.7797871783	0.6188261099
594	0.780049274	0.6184457962
595	0.7801541123	0.6181471634
596	0.7802065314	0.6177874776
597	0.780416208	0.6174589295
598	0.7804686271	0.6171153602
599	0.7804686271	0.6169650863
600	0.780416208	0.6165401965
601	0.7806258846	0.6163064166
602	0.7808355611	0.6160251289
603	0.7808355611	0.6157626677
604	0.7809928186	0.6155755293
605	0.7810976569	0.6151679351
606	0.7808879803	0.6148741878
607	0.7808355611	0.6146095459
608	0.7809928186	0.6144160854
609	0.7810976569	0.6142375448
610	0.7810452377	0.6139353196
611	0.7812024952	0.6137687139
612	0.7809928186	0.6135710671
613	0.7810452377	0.613418517
614	0.7809403994	0.6131063006
615	0.7810976569	0.6128707188
616	0.7810976569	0.6125097336
617	0.7813073334	0.6123309211
618	0.7812549143	0.6120654159
619	0.7810976569	0.6116491589
620	0.78151701	0.6112826175
621	0.7813597526	0.6110208735
622	0.7814121717	0.6107845023
623	0.7812024952	0.6105668532
624	0.7810976569	0.6101931171
625	0.781150076	0.6098160237
626	0.7810452377	0.609490641
627	0.7810452377	0.6092419844
628	0.7812549143	0.6090235354
629	0.7812024952	0.6087771993
630	0.7813597526	0.6084911256
631	0.7817266866	0.6083255688
632	0.7816742674	0.6079874884
633	0.781883944	0.6076298895
634	0.781883944	0.6070494877
635	0.7819887823	0.606871499
636	0.7818315249	0.6065302263
637	0.7820936206	0.6062174209
638	0.7821984589	0.6059100372
639	0.7823032972	0.6056452753
640	0.7825653929	0.6054954674
641	0.7823032972	0.6053437913
642	0.7823032972	0.6050431204
643	0.7823557163	0.6048406457
644	0.7824081355	0.6045870322
645	0.7825129737	0.6043099541
646	0.7824081355	0.603966386
647	0.7824081355	0.6035780437
648	0.7825653929	0.6032690422
649	0.7827750695	0.6029466034
650	0.782617812	0.6026605215
651	0.7828274886	0.6025651	0.7652	0.7827750695	0.6023327052
653	0.7828799077	0.6021653	0.7654	0.7828274886	0.6018904837
655	0.7828274886	0.6017316452
656	0.782984746	0.6015656	0.7657	0.782984746	0.60124657	0.658	0.7831944226	0.6010658	0.7659	0.7835089375	0.6008659	0.7660	0.7836661949	0.6006660	0.7661	0.783718614	0.60060661	0.7799968549	0.6092212209
662	0.7802589506	0.6089161515
663	0.7803637889	0.6086945696
664	0.665	0.7840331289	0.59984665	0.666	0.7841379672	0.59950666	0.7806783037	0.6079048188
667	0.668	0.7846621586	0.59913668	0.669	0.7848718352	0.59892669	0.670	0.7848718352	0.59872670	0.671	0.7850290926	0.5985581447
672	0.7852911883	0.5982599273
673	0.7853960266	0.5981025157
674	0.7851863501	0.5979568991
675	0.7852387692	0.5977628281
676	0.7851339309	0.59741586
677	0.7851863501	0.5971294485
678	0.7852911883	0.5968713684
679	0.7856057032	0.5965313407
680	0.7858677989	0.5963006891
681	0.7859202181	0.596211763
682	0.7860774755	0.5959147057
683	0.7859726372	0.5955968488
684	0.7861823138	0.5954338442
685	0.7862871521	0.595209519
686	0.7863395712	0.5949493189
687	0.7860250564	0.5946210767
688	0.7861298946	0.5944245105
689	0.7860774755	0.5942841099
690	0.7860250564	0.5940296907
691	0.7863395712	0.5937285068
692	0.7862871521	0.5936346162
693	0.7862871521	0.5933666954
694	0.7863395712	0.5931413617
695	0.7863395712	0.592955246
696	0.7864444095	0.5927191346
697	0.7863919904	0.5924587821
698	0.7863919904	0.5921482927
699	0.7864444095	0.5919918713
700	0.7863919904	0.5917097725
701	0.7864968286	0.5914356332
702	0.7866540861	0.5912917752
703	0.7863919904	0.5911313819
704	0.7864968286	0.5909763097
705	0.7865492478	0.590886698
706	0.7863395712	0.5905884847
707	0.7863919904	0.5905035095
708	0.7861823138	0.5901641979
70713	0.7471300519	0.72260532710	0.7864968286	0.5896655289
711	0.7863919904	0.58956603837712	0.7864444095	0.58944443817713	0.7865492478	0.58932567547714	0.7865492478	0.58913200371715	0.7870210201	0.58869369672716	0.7872306967	0.58852682172717	0.7871782775	0.588311203722	0.7474969859	0.7199454298
723	0.7482308539	0.7196771178
72720	0.7872306967	0.58772494572721	0.7872831158	0.58758133972722	0.7872306967	0.587454084727	0.7491219793	0.7183277445
72724	0.7873355349	0.587084803729	0.7492268176	0.7177237163
73726	0.7874403732	0.586719679731	0.7487550453	0.7171908478
732	0.7487550453	0.716881100177733	0.7476542433	0.72264704377734	0.7476542433	0.72231200477735	0.747549405	0.72183525577736	0.7490171411	0.715728922
737	0.7490171411	0.7154521637
738	0.7489647219	0.7152344396
739	0.7478639199	0.72067314817740	0.7480735965	0.72026419873741	0.7481260156	0.7198388877
742	0.7478639199	0.7194138941
743	0.7480211773	0.71915924740744	0.7480735965	0.7189093953
745	0.7480735965	0.7185709185
746	0.7481784348	0.718349635
747	0.7481784348	0.7180663593
748	0.7480735965	0.7177531437
749	0.7481260156	0.7175678746	750	0.7481260156	0.7172609747	751	0.7481784348	0.7170694748	752	0.7483881113	0.7168166749	753	0.7485453688	0.716443405
75754	0.7512187451	0.71006875175755	0.7514284217	0.709752	0.75756	0.7515332599	0.709753	0757757	0.7513760025	0.709754	0758758	0.7514808408	0.708755	0759759	0.7514284217	0.70756	0.760760	0.7513235834	0.70757	0.761	0.7495413325	0.71417758	0.762	0.7494889134	0.7137759	0.7763763	0.7518477748	0.7760	0.7764	0.7493316559	0.7130761	0.7765	0.7493316559	0.7127762	0.7890766	0.7517953557	0.7763	0.7891767	0.7518477748	0.764	0.78932768	0.7520574514	0.765	0.7894769	0.7521098705	0.766	0.7897770	0.7521098705	0.7767	0.7896771	0.7522147088	0.7768	0.7897772	0.7523195471	0.7769	0.7896419773	0.5784244261
770	0.7898516538	0.5782581425
771	0.7896943964	0.5779833045
772	0.789776	0.752267128	0.703773	0.7897468155	0.5776973244
774	0.7896943964	0.577551609
775	0.7896943964	0.5774172617
776	0.7898516538	0.5772537343
777	0.7901137495	0.5771215235
778	0.7898516538	0.5769427916
779	0.7899783	0.7511139068	0.7780	0.7900089113	0.5765577192
781	0.7901661687	0.5763297299
782	0.7902185878	0.5762290039
783	0.7901137495	0.5760375605
784	0.7900613304	0.575879302
785	0.7904806835	0.5757587585
786	0.7905331027	0.5756861226
787	0.7907427793	0.5753981444
788	0.7907951984	0.5752508537
789	0.7910572941	0.5751481877
790	0.7910572941	0.5749732896
791	0.7910572941	0.5747166689
792	0.7911621324	0.5746058495
793	0.7910572941	0.5743602027
794	0.7913193898	0.5742505733
795	0.7909524558	0.5741267134
796	0.7909524558	0.5738950736
797	0.7912145516	0.5737902906
798	0.7912145516	0.5736727545
799	0.7912669707	0.5735211478
800	0.7910572941	0.5734206967
801	0.7911097133	0.573215953
802	0.7919484196	0.5730684505
803	0.7918960004	0.5728335817
804	0.7918960004	0.5726041727
805	0.7920532578	0.5724385121
806	0.792105677	0.572329402
807	0.7921580961	0.5722221435
808	0.7922105153	0.5720596934
809	0.7924201919	0.5719821685
810	0.7926822876	0.5718224843
811	0.792839545	0.5715871794
812	0.793206479	0.5712039627
813	0.7933113173	0.5710304528
814	0.7932588981	0.5708928656
815	0.7933637364	0.5707700368
816	0.7934161556	0.5706587954
817	0.7934161556	0.5703935969
818	0.7934161556	0.5702832301
819	0.7937306704	0.5699430645
820	0.7937306704	0.5697511051
821	0.7937830896	0.5696573166
822	0.7938879279	0.5694256381
823	0.7943597002	0.5692674592
824	0.7943597002	0.5690938511
825	0.7943597002	0.5690049741
826	0.7943597002	0.5688650523
827	0.7944121193	0.5686705417
828	0.7945169576	0.5684468239
829	0.7947790533	0.5682392833
830	0.7945693767	0.5680573669
831	0.7951459873	0.5678695316
832	0.7947266342	0.5676474885
833	0.7948314725	0.5674717278
834	0.7949887299	0.567383199
835	0.7947790533	0.5672980151
836	0.7947266342	0.5671956152
837	0.7950935682	0.5668144113
838	0.795041149	0.5666133328
839	0.7951984065	0.566435304
840	0.7951984065	0.5661719072
841	0.7950935682	0.5660595566
842	0.7953556639	0.5658690089
843	0.795408083	0.5657781648
844	0.7954605022	0.5655664869
845	0.7954605022	0.5654583111
846	0.7953556639	0.5653442073
847	0.7958274362	0.5650991826
848	0.7956701787	0.5649728904
849	0.795775017	0.5648256892
850	0.7959846936	0.5647643128
851	0.7960371128	0.5645485229
852	0.7960371128	0.5644359658
853	0.7960371128	0.5642277259
854	0.7959846936	0.5641037411
